Data,PIR
2016/04/25 20:48:10,1
2016/04/25 20:48:14,0
2016/04/25 20:48:19,1
2016/04/25 20:48:21,0
2016/04/25 20:48:26,0
2016/04/25 20:48:30,1
2016/04/25 20:48:40,0
2016/04/25 20:48:54,1
2016/04/25 20:48:59,0
2016/04/25 20:49:13,1
2016/04/25 20:49:17,0
2016/04/25 20:49:18,1
2016/04/25 20:49:22,0
2016/04/25 20:49:25,1
2016/04/25 20:49:30,0
2016/04/25 20:49:44,1
2016/04/25 20:49:48,0
2016/04/25 20:50:02,1
2016/04/25 20:50:06,0
2016/04/25 20:50:10,1
2016/04/25 20:50:14,0
2016/04/25 20:50:46,1
2016/04/25 20:50:50,0
2016/04/25 20:50:55,1
2016/04/25 20:50:59,0
2016/04/25 20:51:08,1
2016/04/25 20:51:11,0
2016/04/25 20:51:18,1
2016/04/25 20:51:23,0
2016/04/25 20:51:33,1
2016/04/25 20:51:36,0
2016/04/25 20:52:01,1
2016/04/25 20:52:05,0
2016/04/25 20:52:11,1
2016/04/25 20:52:14,0
2016/04/25 20:52:20,1
2016/04/25 20:52:24,0
2016/04/25 20:52:55,1
2016/04/25 20:52:59,0
2016/04/25 20:53:22,1
2016/04/25 20:53:26,0
2016/04/25 20:53:29,1
2016/04/25 20:53:33,0
2016/04/25 20:53:35,1
2016/04/25 20:53:38,0
2016/04/25 20:53:39,1
2016/04/25 20:53:42,0
2016/04/25 20:53:48,0
2016/04/25 20:54:00,1
2016/04/25 20:54:03,0
2016/04/25 20:54:07,1
2016/04/25 20:54:10,0
2016/04/25 20:54:59,1
2016/04/25 20:55:03,0
2016/04/25 20:55:12,1
2016/04/25 20:55:16,0
2016/04/25 20:55:26,1
2016/04/25 20:55:30,0
2016/04/25 20:55:44,1
2016/04/25 20:55:48,0
2016/04/25 20:56:01,1
2016/04/25 20:56:03,0
2016/04/25 20:57:27,1
2016/04/25 20:57:31,0
2016/04/25 20:57:36,1
2016/04/25 20:57:40,0
2016/04/25 20:58:35,1
2016/04/25 20:58:38,0
2016/04/25 20:58:45,1
2016/04/25 20:58:49,0
2016/04/25 20:58:52,1
2016/04/25 20:58:56,0
2016/04/25 21:00:26,1
2016/04/25 21:00:32,0
2016/04/25 21:01:35,1
2016/04/25 21:01:40,0
2016/04/25 21:02:22,1
2016/04/25 21:02:26,0
2016/04/25 21:03:55,1
2016/04/25 21:04:01,0
2016/04/25 21:04:47,1
2016/04/25 21:04:51,0
2016/04/25 21:05:07,1
2016/04/25 21:05:10,0
2016/04/25 21:05:15,1
2016/04/25 21:05:20,0
2016/04/25 21:05:56,1
2016/04/25 21:06:00,0
2016/04/25 21:06:10,1
2016/04/25 21:06:14,0
2016/04/25 21:06:29,1
2016/04/25 21:06:35,0
2016/04/25 21:06:38,1
2016/04/25 21:06:42,0
2016/04/25 21:06:45,1
2016/04/25 21:06:49,0
2016/04/25 21:06:59,1
2016/04/25 21:07:01,0
2016/04/25 21:07:08,1
2016/04/25 21:07:12,0
2016/04/25 21:09:10,1
2016/04/25 21:09:15,0
2016/04/25 21:09:25,1
2016/04/25 21:09:28,0
2016/04/25 21:09:32,1
2016/04/25 21:09:39,0
2016/04/25 21:09:41,1
2016/04/25 21:09:43,0
2016/04/25 21:10:15,1
2016/04/25 21:10:19,0
2016/04/25 21:10:45,1
2016/04/25 21:10:49,0
2016/04/25 21:11:06,1
2016/04/25 21:11:10,0
2016/04/25 21:13:03,1
2016/04/25 21:13:06,0
2016/04/25 21:13:09,1
2016/04/25 21:13:13,0
2016/04/25 21:14:29,1
2016/04/25 21:14:33,0
2016/04/25 21:14:34,1
2016/04/25 21:14:38,0
2016/04/25 21:14:47,1
2016/04/25 21:14:53,0
2016/04/25 21:15:02,1
2016/04/25 21:15:05,0
2016/04/25 21:15:26,1
2016/04/25 21:15:30,0
2016/04/25 21:15:56,1
2016/04/25 21:16:00,0
2016/04/25 21:16:04,1
2016/04/25 21:16:08,0
2016/04/25 21:16:19,1
2016/04/25 21:16:22,0
2016/04/25 21:17:39,1
2016/04/25 21:17:42,0
2016/04/25 21:17:47,0
2016/04/25 21:18:06,1
2016/04/25 21:18:08,0
2016/04/25 21:18:47,1
2016/04/25 21:18:50,0
2016/04/25 21:18:56,1
2016/04/25 21:19:00,0
2016/04/25 21:19:02,1
2016/04/25 21:19:06,0
2016/04/25 21:19:29,1
2016/04/25 21:19:33,0
2016/04/25 21:19:34,1
2016/04/25 21:19:36,0
2016/04/25 21:19:42,0
2016/04/25 21:21:52,1
2016/04/25 21:22:02,0
2016/04/25 21:22:03,1
2016/04/25 21:22:07,0
2016/04/25 21:22:16,1
2016/04/25 21:22:20,0
2016/04/25 21:22:40,1
2016/04/25 21:22:44,0
2016/04/25 21:23:00,1
2016/04/25 21:23:03,0
2016/04/25 21:23:38,1
2016/04/25 21:23:42,0
2016/04/25 21:23:49,1
2016/04/25 21:23:51,0
2016/04/25 21:23:54,1
2016/04/25 21:23:57,0
2016/04/25 21:24:35,1
2016/04/25 21:24:40,0
2016/04/25 21:24:47,1
2016/04/25 21:24:50,0
2016/04/25 21:25:24,1
2016/04/25 21:25:28,0
2016/04/25 21:26:03,1
2016/04/25 21:26:07,0
2016/04/25 21:26:12,0
2016/04/25 21:26:15,1
2016/04/25 21:26:18,0
2016/04/25 21:26:21,1
2016/04/25 21:26:27,0
2016/04/25 21:26:51,1
2016/04/25 21:26:57,0
2016/04/25 21:27:16,1
2016/04/25 21:27:19,0
2016/04/25 21:27:29,1
2016/04/25 21:27:33,0
2016/04/25 21:27:39,1
2016/04/25 21:27:43,0
2016/04/25 21:27:48,0
2016/04/25 21:27:54,0
2016/04/25 21:27:59,1
2016/04/25 21:28:05,0
2016/04/25 21:28:31,1
2016/04/25 21:28:39,0
2016/04/25 21:28:54,1
2016/04/25 21:29:00,0
2016/04/25 21:30:26,1
2016/04/25 21:30:30,0
2016/04/25 21:30:31,1
2016/04/25 21:30:34,0
2016/04/25 21:31:10,1
2016/04/25 21:31:13,0
2016/04/25 21:31:27,1
2016/04/25 21:31:31,0
2016/04/25 21:32:49,1
2016/04/25 21:32:54,0
2016/04/25 21:33:29,1
2016/04/25 21:33:33,0
2016/04/25 21:34:15,1
2016/04/25 21:34:18,0
2016/04/25 21:34:32,1
2016/04/25 21:34:36,0
2016/04/25 21:34:38,1
2016/04/25 21:34:41,0
2016/04/25 21:35:01,1
2016/04/25 21:35:04,0
2016/04/25 21:35:56,1
2016/04/25 21:35:59,0
2016/04/25 21:36:41,1
2016/04/25 21:36:44,0
2016/04/25 21:36:46,1
2016/04/25 21:36:50,0
2016/04/25 21:37:01,1
2016/04/25 21:37:05,0
2016/04/25 21:37:42,1
2016/04/25 21:37:50,0
2016/04/25 21:38:09,1
2016/04/25 21:38:13,0
2016/04/25 21:38:14,1
2016/04/25 21:38:18,0
2016/04/25 21:39:06,1
2016/04/25 21:39:11,0
2016/04/25 21:39:22,1
2016/04/25 21:39:26,0
2016/04/25 21:39:50,1
2016/04/25 21:39:54,0
2016/04/25 21:40:00,1
2016/04/25 21:40:04,0
2016/04/25 21:40:18,1
2016/04/25 21:40:22,0
2016/04/25 21:40:27,0
2016/04/25 21:41:34,1
2016/04/25 21:41:38,0
2016/04/25 21:41:57,1
2016/04/25 21:42:00,0
2016/04/25 21:42:48,1
2016/04/25 21:42:53,0
2016/04/25 21:43:09,1
2016/04/25 21:43:16,0
2016/04/25 21:43:22,1
2016/04/25 21:43:25,0
2016/04/25 21:44:06,1
2016/04/25 21:44:10,0
2016/04/25 21:44:17,1
2016/04/25 21:44:21,0
2016/04/25 21:45:12,1
2016/04/25 21:45:18,0
2016/04/25 21:47:29,1
2016/04/25 21:47:33,0
2016/04/25 21:47:39,0
2016/04/25 21:48:54,1
2016/04/25 21:48:57,0
2016/04/25 21:51:01,1
2016/04/25 21:51:05,0
2016/04/25 21:51:09,1
2016/04/25 21:51:12,0
2016/04/25 21:51:33,1
2016/04/25 21:51:35,0
2016/04/25 21:51:50,1
2016/04/25 21:51:55,0
