Data,PIR
2016/04/16 09:14:28,1
2016/04/16 09:14:31,0
2016/04/16 09:14:38,1
2016/04/16 09:14:42,0
2016/04/16 09:19:22,1
2016/04/16 09:19:25,0
2016/04/16 09:32:27,1
2016/04/16 09:32:54,0
2016/04/16 09:33:00,0
2016/04/16 09:33:08,1
2016/04/16 09:33:18,0
2016/04/16 09:33:20,1
2016/04/16 09:33:22,0
2016/04/16 09:51:57,1
2016/04/16 09:52:00,0
2016/04/16 10:01:16,1
2016/04/16 10:08:54,1
2016/04/16 10:08:57,0
2016/04/16 10:25:21,1
2016/04/16 10:25:24,0
2016/04/16 10:30:09,0
2016/04/16 10:37:40,1
2016/04/16 10:37:43,0
2016/04/16 10:38:53,1
2016/04/16 10:38:56,0
2016/04/16 10:40:20,1
2016/04/16 10:41:00,1
2016/04/16 10:41:03,0
2016/04/16 10:44:07,1
2016/04/16 10:44:10,0
2016/04/16 10:45:09,1
2016/04/16 10:45:12,0
2016/04/16 10:45:49,1
2016/04/16 10:45:59,0
2016/04/16 10:52:50,1
2016/04/16 10:52:53,0
2016/04/16 10:52:59,1
2016/04/16 10:53:01,0
2016/04/16 10:53:30,1
2016/04/16 10:53:32,0
2016/04/16 10:54:10,1
2016/04/16 10:54:19,0
2016/04/16 10:57:27,1
2016/04/16 10:57:32,0
2016/04/16 10:59:08,1
2016/04/16 10:59:12,0
2016/04/16 11:00:10,0
2016/04/16 11:00:27,1
2016/04/16 11:00:29,0
2016/04/16 11:01:06,1
2016/04/16 11:01:08,0
2016/04/16 11:01:25,1
2016/04/16 11:01:42,0
2016/04/16 11:02:23,1
2016/04/16 11:02:28,0
2016/04/16 11:08:53,1
2016/04/16 11:09:01,0
2016/04/16 11:09:47,0
2016/04/16 11:10:46,1
2016/04/16 11:10:50,0
2016/04/16 11:15:38,1
2016/04/16 11:15:44,0
2016/04/16 11:15:47,1
2016/04/16 11:15:56,0
2016/04/16 11:16:32,1
2016/04/16 11:16:35,0
2016/04/16 11:16:45,1
