Data,Temperatura
2016/04/16 09:15:24,20.38
2016/04/16 09:15:27,20.31
2016/04/16 09:16:53,20.38
2016/04/16 09:16:56,20.31
2016/04/16 09:18:04,20.38
2016/04/16 09:18:07,20.31
2016/04/16 09:18:25,20.38
2016/04/16 09:18:28,20.31
2016/04/16 09:18:59,20.38
2016/04/16 09:19:02,20.31
2016/04/16 09:19:20,20.38
2016/04/16 09:19:23,20.31
2016/04/16 09:19:34,20.38
2016/04/16 09:19:38,20.31
2016/04/16 09:19:50,20.38
2016/04/16 09:19:55,20.31
2016/04/16 09:20:23,20.38
2016/04/16 09:20:28,20.31
2016/04/16 09:20:55,20.38
2016/04/16 09:21:00,20.31
2016/04/16 09:21:23,20.38
2016/04/16 09:21:26,20.31
2016/04/16 09:21:32,20.38
2016/04/16 09:21:36,20.31
2016/04/16 09:21:39,20.38
2016/04/16 09:21:42,20.31
2016/04/16 09:22:01,20.38
2016/04/16 09:22:05,20.31
2016/04/16 09:22:37,20.38
2016/04/16 09:22:42,20.31
2016/04/16 09:23:17,20.38
2016/04/16 09:23:22,20.31
2016/04/16 09:23:37,20.38
2016/04/16 09:23:42,20.31
2016/04/16 09:23:46,20.38
2016/04/16 09:23:55,20.31
2016/04/16 09:24:09,20.38
2016/04/16 09:24:14,20.31
2016/04/16 09:24:22,20.38
2016/04/16 09:24:25,20.31
2016/04/16 09:24:38,20.38
2016/04/16 09:24:43,20.31
2016/04/16 09:24:59,20.38
2016/04/16 09:25:03,20.31
2016/04/16 09:25:33,20.38
2016/04/16 09:25:37,20.31
2016/04/16 09:26:01,20.38
2016/04/16 09:26:04,20.31
2016/04/16 09:26:23,20.38
2016/04/16 09:26:27,20.31
2016/04/16 09:27:05,20.38
2016/04/16 09:27:09,20.31
2016/04/16 09:27:23,20.38
2016/04/16 09:27:26,20.31
2016/04/16 09:27:33,20.38
2016/04/16 09:27:36,20.31
2016/04/16 09:27:59,20.38
2016/04/16 09:28:02,20.31
2016/04/16 09:28:07,20.38
2016/04/16 09:28:10,20.31
2016/04/16 09:28:23,20.38
2016/04/16 09:28:26,20.31
2016/04/16 09:28:30,20.38
2016/04/16 09:28:34,20.31
2016/04/16 09:28:47,20.38
2016/04/16 09:28:55,20.31
2016/04/16 09:29:02,20.38
2016/04/16 09:29:07,20.31
2016/04/16 09:29:10,20.38
2016/04/16 09:29:17,20.31
2016/04/16 09:29:25,20.38
2016/04/16 09:29:34,20.31
2016/04/16 09:29:44,20.38
2016/04/16 09:29:49,20.31
2016/04/16 09:29:52,20.38
2016/04/16 09:29:55,20.31
2016/04/16 09:30:08,20.38
2016/04/16 09:30:13,20.31
2016/04/16 09:30:39,20.38
2016/04/16 09:30:46,20.31
2016/04/16 09:30:52,20.38
2016/04/16 09:30:57,20.31
2016/04/16 09:31:18,20.38
2016/04/16 09:31:21,20.31
2016/04/16 09:31:44,20.38
2016/04/16 09:31:49,20.31
2016/04/16 09:31:58,20.38
2016/04/16 09:32:02,20.31
2016/04/16 09:32:10,20.38
2016/04/16 09:32:13,20.31
2016/04/16 09:32:32,20.38
2016/04/16 09:32:36,20.31
2016/04/16 09:33:00,20.25
2016/04/16 09:33:31,20.19
2016/04/16 09:37:39,20.25
2016/04/16 09:37:42,20.19
2016/04/16 09:37:55,20.25
2016/04/16 09:38:02,20.19
2016/04/16 09:38:14,20.25
2016/04/16 09:38:18,20.19
2016/04/16 09:38:21,20.25
2016/04/16 09:38:26,20.19
2016/04/16 09:38:31,20.25
2016/04/16 09:38:37,20.19
2016/04/16 09:38:42,20.25
2016/04/16 09:38:57,20.19
2016/04/16 09:39:03,20.25
2016/04/16 09:39:40,20.19
2016/04/16 09:39:44,20.25
2016/04/16 09:39:50,20.19
2016/04/16 09:39:55,20.25
2016/04/16 09:40:05,20.19
2016/04/16 09:40:08,20.25
2016/04/16 09:40:13,20.19
2016/04/16 09:40:16,20.25
2016/04/16 09:41:06,20.19
2016/04/16 09:41:09,20.25
2016/04/16 09:44:15,20.31
2016/04/16 09:44:18,20.25
2016/04/16 09:45:27,20.31
2016/04/16 09:45:31,20.25
2016/04/16 09:46:43,20.31
2016/04/16 09:46:46,20.25
2016/04/16 09:47:07,20.31
2016/04/16 09:47:14,20.25
2016/04/16 09:47:24,20.31
2016/04/16 09:47:29,20.25
2016/04/16 09:47:51,20.31
2016/04/16 09:47:58,20.25
2016/04/16 09:48:12,20.31
2016/04/16 09:48:15,20.25
2016/04/16 09:48:22,20.31
2016/04/16 09:48:27,20.25
2016/04/16 09:48:32,20.31
2016/04/16 09:48:40,20.25
2016/04/16 09:48:53,20.31
2016/04/16 09:48:56,20.25
2016/04/16 09:49:06,20.31
2016/04/16 09:49:10,20.25
2016/04/16 09:49:20,20.31
2016/04/16 09:49:23,20.25
2016/04/16 09:49:33,20.31
2016/04/16 09:49:36,20.25
2016/04/16 09:49:46,20.31
2016/04/16 09:49:53,20.25
2016/04/16 09:49:57,20.31
2016/04/16 09:50:04,20.25
2016/04/16 09:50:10,20.31
2016/04/16 09:50:14,20.25
2016/04/16 09:50:20,20.31
2016/04/16 09:50:30,20.25
2016/04/16 09:50:33,20.31
2016/04/16 09:50:41,20.25
2016/04/16 09:50:44,20.31
2016/04/16 09:50:51,20.25
2016/04/16 09:50:56,20.31
2016/04/16 09:50:59,20.25
2016/04/16 09:51:02,20.31
2016/04/16 09:51:17,20.25
2016/04/16 09:51:22,20.31
2016/04/16 09:51:25,20.25
2016/04/16 09:51:31,20.31
2016/04/16 09:51:44,20.25
2016/04/16 09:51:48,20.31
2016/04/16 09:52:20,20.25
2016/04/16 09:52:23,20.31
2016/04/16 09:56:03,20.25
2016/04/16 09:56:06,20.31
2016/04/16 10:01:09,20.38
2016/04/16 10:01:12,20.31
2016/04/16 10:01:41,20.38
2016/04/16 10:01:46,20.31
2016/04/16 10:01:49,20.38
2016/04/16 10:01:56,20.31
2016/04/16 10:01:59,20.38
2016/04/16 10:02:04,20.31
2016/04/16 10:02:14,20.38
2016/04/16 10:02:22,20.31
2016/04/16 10:02:25,20.38
2016/04/16 10:02:28,20.31
2016/04/16 10:02:31,20.38
2016/04/16 10:02:40,20.31
2016/04/16 10:02:43,20.38
2016/04/16 10:03:45,20.31
2016/04/16 10:03:49,20.38
2016/04/16 10:04:05,20.31
2016/04/16 10:04:08,20.38
2016/04/16 10:04:27,20.31
2016/04/16 10:04:32,20.38
2016/04/16 10:05:19,20.31
2016/04/16 10:05:22,20.38
2016/04/16 10:05:58,20.31
2016/04/16 10:06:01,20.38
2016/04/16 10:07:58,20.31
2016/04/16 10:08:01,20.38
2016/04/16 10:08:17,20.31
2016/04/16 10:08:21,20.38
2016/04/16 10:11:24,20.31
2016/04/16 10:11:27,20.38
2016/04/16 10:21:50,20.31
2016/04/16 10:21:53,20.38
2016/04/16 10:22:43,20.31
2016/04/16 10:22:46,20.38
2016/04/16 10:23:17,20.31
2016/04/16 10:23:20,20.38
2016/04/16 10:23:49,20.31
2016/04/16 10:23:52,20.38
2016/04/16 10:25:23,20.31
2016/04/16 10:25:26,20.38
2016/04/16 10:30:31,20.44
2016/04/16 10:30:36,20.38
2016/04/16 10:31:19,20.44
2016/04/16 10:31:24,20.38
2016/04/16 10:31:29,20.44
2016/04/16 10:31:32,20.38
2016/04/16 10:31:36,20.44
2016/04/16 10:31:44,20.38
2016/04/16 10:31:48,20.44
2016/04/16 10:31:55,20.38
2016/04/16 10:31:58,20.44
2016/04/16 10:32:03,20.38
2016/04/16 10:32:06,20.44
2016/04/16 10:32:16,20.38
2016/04/16 10:32:19,20.44
2016/04/16 10:32:34,20.38
2016/04/16 10:32:37,20.44
2016/04/16 10:39:40,20.50
2016/04/16 10:39:53,20.44
2016/04/16 10:40:01,20.50
2016/04/16 10:40:22,20.44
2016/04/16 10:40:28,20.50
2016/04/16 10:40:38,20.44
2016/04/16 10:40:41,20.50
2016/04/16 10:41:07,20.44
2016/04/16 10:41:12,20.50
2016/04/16 10:41:25,20.44
2016/04/16 10:41:30,20.50
2016/04/16 10:41:33,20.44
2016/04/16 10:41:55,20.38
2016/04/16 10:43:10,20.44
2016/04/16 10:43:13,20.38
2016/04/16 10:43:21,20.44
2016/04/16 10:43:26,20.38
2016/04/16 10:43:35,20.44
2016/04/16 10:43:39,20.38
2016/04/16 10:43:45,20.44
2016/04/16 10:43:48,20.38
2016/04/16 10:43:53,20.44
2016/04/16 10:44:00,20.38
2016/04/16 10:44:03,20.44
2016/04/16 10:44:13,20.38
2016/04/16 10:44:16,20.44
2016/04/16 10:44:27,20.38
2016/04/16 10:44:31,20.44
2016/04/16 10:46:03,20.50
2016/04/16 10:46:06,20.44
2016/04/16 10:46:20,20.50
2016/04/16 10:46:30,20.44
2016/04/16 10:46:33,20.50
2016/04/16 10:47:49,20.44
2016/04/16 10:47:52,20.50
2016/04/16 10:49:21,20.56
2016/04/16 10:49:24,20.50
2016/04/16 10:49:40,20.56
2016/04/16 10:49:45,20.50
2016/04/16 10:49:57,20.56
2016/04/16 10:50:01,20.50
2016/04/16 10:50:24,20.56
2016/04/16 10:50:29,20.50
2016/04/16 10:50:42,20.56
2016/04/16 10:50:50,20.50
2016/04/16 10:50:56,20.56
2016/04/16 10:53:43,20.63
2016/04/16 10:53:46,20.56
2016/04/16 10:53:57,20.63
2016/04/16 10:54:12,20.56
2016/04/16 10:54:23,20.63
2016/04/16 10:54:28,20.56
2016/04/16 10:54:31,20.63
2016/04/16 10:54:51,20.56
2016/04/16 10:54:54,20.63
2016/04/16 10:57:48,20.69
2016/04/16 10:57:55,20.63
2016/04/16 10:58:08,20.69
2016/04/16 10:58:14,20.63
2016/04/16 10:59:35,20.69
2016/04/16 10:59:41,20.63
2016/04/16 10:59:44,20.69
2016/04/16 10:59:49,20.63
2016/04/16 10:59:54,20.69
2016/04/16 11:00:01,20.63
2016/04/16 11:00:04,20.69
2016/04/16 11:00:17,20.63
2016/04/16 11:00:20,20.69
2016/04/16 11:00:25,20.63
2016/04/16 11:00:28,20.69
2016/04/16 11:00:51,20.63
2016/04/16 11:00:56,20.69
2016/04/16 11:01:04,20.63
2016/04/16 11:01:07,20.69
2016/04/16 11:01:15,20.63
2016/04/16 11:01:20,20.69
2016/04/16 11:02:02,20.75
2016/04/16 11:02:10,20.69
2016/04/16 11:02:17,20.75
2016/04/16 11:02:31,20.69
2016/04/16 11:02:38,20.75
2016/04/16 11:02:52,20.69
2016/04/16 11:02:55,20.75
2016/04/16 11:04:43,20.69
2016/04/16 11:04:47,20.75
2016/04/16 11:05:00,20.69
2016/04/16 11:05:03,20.75
2016/04/16 11:05:19,20.69
2016/04/16 11:05:22,20.75
2016/04/16 11:05:32,20.69
2016/04/16 11:06:41,20.75
2016/04/16 11:06:45,20.69
2016/04/16 11:08:05,20.63
2016/04/16 11:08:08,20.69
2016/04/16 11:08:41,20.63
2016/04/16 11:08:44,20.69
2016/04/16 11:09:07,20.63
2016/04/16 11:09:10,20.69
2016/04/16 11:09:19,20.63
2016/04/16 11:09:23,20.69
2016/04/16 11:09:31,20.63
2016/04/16 11:09:36,20.69
2016/04/16 11:09:39,20.63
2016/04/16 11:09:45,20.69
2016/04/16 11:09:50,20.63
2016/04/16 11:09:54,20.69
2016/04/16 11:09:58,20.63
2016/04/16 11:10:11,20.69
2016/04/16 11:10:16,20.63
2016/04/16 11:10:31,20.69
2016/04/16 11:10:34,20.63
2016/04/16 11:10:50,20.69
2016/04/16 11:10:53,20.63
2016/04/16 11:11:08,20.69
2016/04/16 11:11:11,20.63
2016/04/16 11:12:09,20.69
2016/04/16 11:12:13,20.63
2016/04/16 11:13:16,20.69
2016/04/16 11:13:19,20.63
2016/04/16 11:13:30,20.69
2016/04/16 11:13:34,20.63
2016/04/16 11:14:40,20.69
2016/04/16 11:14:45,20.63
2016/04/16 11:15:14,20.69
2016/04/16 11:15:17,20.63
2016/04/16 11:15:30,20.69
2016/04/16 11:15:33,20.63
2016/04/16 11:15:37,20.69
2016/04/16 11:15:46,20.63
2016/04/16 11:15:50,20.69
2016/04/16 11:16:09,20.63
2016/04/16 11:16:14,20.69
2016/04/16 11:17:07,20.75
2016/04/16 11:17:10,20.69
2016/04/16 11:17:14,20.75
2016/04/16 11:17:23,20.69
2016/04/16 11:17:27,20.75
2016/04/16 11:18:15,20.81
2016/04/16 11:19:02,20.88
2016/04/16 11:19:07,20.81
2016/04/16 11:19:18,20.88
