Data,Temp M1,Temp Random
2016/04/16 20:23:06,20.50,18
2016/04/16 20:28:07,20.50,21
2016/04/16 20:33:08,20.50,18
2016/04/16 20:38:09,20.50,19
2016/04/16 20:43:10,20.56,21
2016/04/16 20:48:11,20.56,21
2016/04/16 20:53:12,20.63,18
2016/04/16 20:58:13,20.56,17
2016/04/16 21:03:14,20.56,17
2016/04/16 21:08:15,20.56,21
2016/04/16 21:13:16,20.56,18
2016/04/16 21:18:17,20.56,20
2016/04/16 21:23:18,20.63,20
2016/04/16 21:28:19,20.63,20
2016/04/16 21:33:20,20.63,17
2016/04/16 21:38:21,20.63,20
2016/04/16 21:43:22,20.63,19
2016/04/16 21:48:23,20.56,20
2016/04/16 21:53:24,20.56,20
2016/04/16 21:58:25,20.56,20
2016/04/16 22:03:26,20.50,19
2016/04/16 22:08:27,20.50,22
2016/04/16 22:13:28,20.50,21
2016/04/16 22:18:29,20.50,18
2016/04/16 22:23:30,20.50,18
2016/04/16 22:28:31,20.50,18
2016/04/16 22:33:32,20.50,22
2016/04/16 22:38:33,20.50,17
2016/04/16 22:43:34,20.50,17
2016/04/16 22:48:35,20.50,20
2016/04/16 22:53:36,20.50,18
2016/04/16 22:58:37,20.50,20
2016/04/16 23:03:38,20.50,18
2016/04/16 23:08:39,20.44,17
2016/04/16 23:13:40,20.44,17
2016/04/16 23:18:41,20.50,21
2016/04/16 23:23:42,20.44,19
2016/04/16 23:28:43,20.50,22
2016/04/16 23:33:44,20.50,21
2016/04/16 23:38:45,20.44,17
2016/04/16 23:43:46,20.44,21
2016/04/16 23:48:47,20.44,20
2016/04/16 23:53:48,20.44,22
2016/04/16 23:58:49,20.50,22
2016/04/17 00:03:50,20.50,19
2016/04/17 00:08:51,20.56,19
2016/04/17 00:13:52,20.56,20
2016/04/17 00:18:53,20.63,20
2016/04/17 00:23:54,20.56,19
2016/04/17 00:28:55,20.56,19
2016/04/17 00:33:56,20.56,21
2016/04/17 00:38:57,20.50,18
2016/04/17 00:43:58,20.56,18
2016/04/17 00:48:59,20.50,17
2016/04/17 00:54:00,20.50,18
2016/04/17 00:59:01,20.50,21
2016/04/17 01:04:02,20.50,17
2016/04/17 01:09:03,20.50,21
2016/04/17 01:14:04,20.50,19
2016/04/17 01:19:05,20.44,18
2016/04/17 01:24:06,20.50,20
2016/04/17 01:29:07,20.50,19
2016/04/17 01:34:08,20.44,18
2016/04/17 01:39:09,20.50,18
2016/04/17 01:44:10,20.50,18
2016/04/17 01:49:11,20.44,20
2016/04/17 01:54:12,20.44,20
2016/04/17 01:59:13,20.50,19
